Lat,Lon
-41.396,144.41
-41.389,144.44
-41.382,144.469
-41.372,144.493
-41.358,144.509
-41.338,144.515
-41.314,144.516
-41.292,144.517
-41.269,144.518
-41.251,144.518
-41.244,144.518
-41.251,144.522
-41.266,144.526
-41.281,144.531
-41.296,144.536
-41.309,144.547
-41.319,144.564
-41.324,144.588
-41.324,144.616
-41.326,144.645
-41.328,144.674
-41.32,144.704
-41.293,144.739
-41.247,144.777
-41.19,144.819
-41.13,144.865
-41.07,144.912
-41.007,144.955
-40.942,144.985
-40.874,144.997
-40.803,145.002
-40.734,145.012
-40.667,145.025
-40.612,145.04
-40.578,145.059
-40.562,145.083
-40.555,145.112
-40.547,145.142
-40.54,145.171
-40.532,145.203
-40.526,145.235
-40.52,145.264
-40.517,145.29
-40.513,145.316
-40.51,145.341
-40.497,145.378
-40.472,145.433
-40.44,145.501
-40.405,145.573
-40.373,145.644
-40.342,145.712
-40.321,145.758
-40.312,145.767
-40.312,145.74
-40.317,145.697
-40.321,145.653
-40.325,145.61
-40.331,145.569
-40.337,145.541
-40.342,145.532
-40.345,145.536
-40.348,145.538
-40.351,145.54
-40.351,145.545
-40.348,145.551
-40.345,145.548
-40.341,145.54
-40.337,145.532
-40.333,145.524
-40.333,145.509
-40.341,145.484
-40.355,145.452
-40.374,145.418
-40.392,145.384
-40.41,145.352
-40.426,145.313
-40.437,145.266
-40.442,145.209
-40.445,145.147
-40.448,145.084
-40.451,145.022
-40.464,144.947
-40.493,144.851
-40.538,144.738
-40.596,144.622
-40.659,144.512
-40.729,144.408
-40.799,144.332
-40.862,144.302
-40.917,144.316
-40.968,144.351
-41.022,144.385
-41.078,144.42
-41.13,144.444
-41.17,144.44
-41.193,144.405
-41.209,144.352
-41.224,144.298
-41.236,144.242
-41.243,144.191
-41.24,144.154
-41.232,144.134
-41.224,144.124
-41.216,144.114
-41.208,144.104
-41.206,144.089
-41.218,144.073
-41.246,144.058
-41.282,144.045
-41.317,144.032
-41.351,144.02
-41.382,144.023
-41.4,144.051
-41.404,144.103
-41.401,144.166
-41.398,144.228
-41.397,144.289
-41.391,144.343
-41.377,144.385
-41.359,144.414
-41.337,144.436
-41.315,144.458
-41.293,144.48
-41.266,144.501
-41.226,144.52
-41.171,144.537
-41.108,144.551
-41.046,144.566
-40.985,144.581
-40.935,144.581
-40.909,144.555
-40.909,144.501
-40.923,144.433
-40.939,144.363
-40.955,144.293
-40.972,144.24
-40.985,144.221
-40.992,144.239
-40.998,144.275
-41.004,144.311
-41.012,144.346
-41.02,144.369
-41.028,144.366
-41.035,144.339
-41.043,144.297
-41.05,144.256
-41.058,144.214
-41.061,144.178
-41.057,144.154
-41.046,144.143
-41.033,144.138
-41.019,144.134
-41.005,144.129
-40.996,144.116
-40.998,144.091
-41.011,144.054
-41.031,144.012
-41.05,143.971
-41.07,143.93
-41.088,143.906
-41.101,143.91
-41.108,143.941
-41.111,143.986
-41.114,144.03
-41.117,144.075
-41.12,144.117
-41.127,144.157
-41.141,144.195
-41.157,144.231
-41.173,144.267
-41.189,144.302
-41.197,144.334
-41.189,144.363
-41.164,144.385
-41.129,144.405
-41.095,144.424
-41.062,144.444
-41.036,144.459
-41.029,144.464
-41.042,144.461
-41.066,144.456
-41.09,144.45
-41.115,144.445
-41.139,144.45
-41.16,144.471
-41.178,144.505
-41.194,144.547
-41.212,144.588
-41.231,144.63
-41.243,144.668
-41.237,144.702
-41.212,144.734
-41.177,144.765
-41.143,144.796
-41.109,144.828
-41.069,144.853
-41.014,144.863
-40.944,144.857
-40.865,144.845
-40.787,144.836
-40.709,144.83
-40.642,144.821
-40.593,144.799
-40.562,144.765
-40.539,144.725
-40.515,144.685
-40.491,144.646
-40.463,144.617
-40.431,144.606
-40.395,144.611
-40.358,144.621
-40.32,144.631
-40.283,144.639
-40.255,144.634
-40.249,144.603
-40.265,144.548
-40.294,144.481
-40.325,144.412
-40.356,144.34
-40.388,144.264
-40.42,144.181
-40.449,144.096
-40.473,144.012
-40.497,143.932
-40.519,143.854
-40.541,143.78
-40.573,143.714
-40.621,143.658
-40.684,143.611
-40.75,143.567
-40.819,143.527
-40.88,143.5
-40.907,143.487
-40.887,143.478
-40.841,143.47
-40.796,143.463
-40.752,143.458
-40.707,143.448
-40.667,143.43
-40.64,143.403
-40.624,143.372
-40.608,143.34
-40.593,143.309
-40.584,143.268
-40.59,143.218
-40.606,143.164
-40.626,143.112
-40.647,143.059
-40.669,143.006
-40.698,142.975
-40.741,142.982
-40.794,143.027
-40.849,143.091
-40.906,143.157
-40.962,143.223
-41.005,143.295
-41.02,143.374
-41.01,143.453
-40.989,143.531
-40.967,143.609
-40.943,143.688
-40.914,143.754
-40.872,143.794
-40.813,143.807
-40.745,143.81
-40.679,143.815
-40.614,143.824
-40.55,143.804
-40.482,143.736
-40.416,143.628
-40.352,143.507
-40.287,143.387
-40.223,143.27
-40.177,143.161
-40.169,143.06
-40.208,142.966
-40.275,142.883
-40.347,142.8
-40.427,142.728
-40.532,142.697
-40.674,142.74
-40.842,142.852
-41.014,142.991
-41.186,143.128
-41.356,143.247
-41.494,143.349
-41.575,143.438
-41.605,143.511
-41.614,143.576
-41.621,143.644
-41.626,143.711
-41.635,143.768
-41.645,143.806
-41.648,143.829
-41.647,143.844
-41.646,143.859
-41.645,143.874
-41.649,143.879
-41.657,143.87
-41.669,143.85
-41.683,143.824
-41.697,143.797
-41.71,143.771
-41.714,143.748
-41.706,143.721
-41.69,143.685
-41.675,143.643
-41.658,143.601
-41.64,143.559
-41.623,143.528
-41.614,143.529
-41.613,143.573
-41.612,143.641
-41.61,143.709
-41.606,143.775
-41.607,143.838
-41.613,143.895
-41.614,143.942
-41.609,143.982
-41.603,144.022
-41.598,144.061
-41.595,144.101
-41.599,144.142
-41.613,144.179
-41.632,144.212
-41.652,144.244
-41.673,144.274
-41.684,144.302
-41.674,144.321
-41.646,144.331
-41.61,144.338
-41.573,144.345
-41.536,144.354
-41.501,144.36
-41.472,144.363
-41.448,144.363
-41.428,144.363
-41.407,144.363
-41.386,144.364
-41.362,144.36
-41.333,144.35
-41.299,144.334
-41.259,144.314
-41.22,144.293
-41.181,144.272
-41.146,144.245
-41.115,144.209
-41.087,144.167
-41.062,144.122
-41.035,144.077
-41.008,144.031
-40.975,143.991
-40.934,143.956
-40.888,143.92
-40.842,143.88
-40.798,143.839
-40.757,143.798
-40.737,143.76
-40.767,143.738
-40.856,143.738
-40.979,143.755
-41.107,143.762
-41.24,143.759
-41.362,143.766
-41.438,143.792
-41.447,143.83
-41.419,143.865
-41.391,143.901
-41.366,143.938
-41.341,143.959
-41.318,143.951
-41.302,143.919
-41.293,143.877
-41.283,143.835
-41.273,143.793
-41.258,143.767
-41.235,143.768
-41.205,143.79
-41.17,143.819
-41.136,143.847
-41.101,143.876
-41.074,143.9
-41.061,143.913
-41.067,143.917
-41.083,143.919
-41.099,143.921
-41.116,143.923
-41.126,143.927
-41.121,143.94
-41.099,143.962
-41.067,143.988
-41.034,144.014
-41.002,144.04
-40.978,144.058
-40.972,144.067
-40.988,144.068
-41.016,144.064
-41.044,144.061
-41.073,144.059
-41.094,144.069
-41.099,144.102
-41.086,144.156
-41.064,144.218
-41.042,144.28
-41.02,144.34
-41.002,144.4
-40.993,144.46
-40.994,144.524
-41.0,144.589
-41.006,144.654
-41.012,144.72
-41.006,144.782
-40.973,144.835
-40.913,144.876
-40.838,144.912
-40.764,144.95
-40.69,144.99
-40.624,145.022
-40.577,145.038
-40.549,145.037
-40.529,145.03
-40.51,145.024
-40.49,145.019
-40.474,145.013
-40.466,145.002
-40.468,144.982
-40.474,144.958
-40.481,144.935
-40.487,144.911
-40.493,144.894
-40.5,144.889
-40.507,144.897
-40.516,144.91
-40.524,144.924
-40.533,144.939
-40.54,144.943
-40.546,144.929
-40.548,144.897
-40.549,144.855
-40.551,144.813
-40.552,144.77
-40.552,144.727
-40.547,144.68
-40.538,144.631
-40.527,144.581
-40.517,144.531
-40.508,144.483
-40.495,144.451
-40.475,144.452
-40.45,144.491
-40.423,144.551
-40.397,144.612
-40.372,144.673
-40.356,144.737
-40.357,144.808
-40.373,144.887
-40.396,144.971
-40.421,145.052
-40.446,145.131
-40.457,145.203
-40.441,145.257
-40.398,145.281
-40.341,145.279
-40.284,145.27
-40.226,145.253
-40.182,145.197
-40.166,145.076
-40.188,144.897
-40.228,144.686
-40.265,144.467
-40.299,144.24
-40.327,144.028
-40.339,143.859
-40.323,143.735
-40.293,143.639
-40.268,143.55
-40.248,143.467
-40.245,143.406
-40.268,143.386
-40.311,143.403
-40.358,143.434
-40.405,143.466
-40.451,143.499
-40.487,143.539
-40.509,143.593
-40.518,143.655
-40.522,143.722
-40.525,143.787
-40.529,143.852
-40.543,143.911
-40.579,143.963
-40.641,144.006
-40.716,144.045
-40.789,144.082
-40.861,144.119
-40.911,144.165
-40.916,144.232
-40.873,144.32
-40.809,144.421
-40.752,144.525
-40.702,144.631
-40.657,144.72
-40.616,144.769
-40.576,144.776
-40.538,144.76
-40.499,144.745
-40.459,144.729
-40.426,144.688
-40.411,144.599
-40.42,144.471
-40.442,144.332
-40.466,144.199
-40.491,144.072
-40.512,143.946
-40.52,143.812
-40.509,143.664
-40.49,143.505
-40.471,143.346
-40.452,143.185
-40.436,143.046
-40.433,142.943
-40.448,142.876
-40.475,142.832
-40.504,142.788
-40.536,142.744
-40.573,142.717
-40.617,142.734
-40.659,142.803
-40.696,142.889
-40.734,142.971
-40.771,143.055
-40.805,143.124
-40.826,143.166
-40.83,143.184
-40.823,143.191
-40.816,143.198
-40.81,143.206
-40.8,143.213
-40.788,143.214
-40.777,143.202
-40.769,143.18
-40.761,143.158
-40.754,143.135
-40.751,143.126
-40.761,143.14
-40.783,143.183
-40.812,143.246
-40.841,143.308
-40.87,143.369
-40.896,143.425
-40.914,143.473
-40.92,143.516
-40.921,143.555
-40.921,143.593
-40.921,143.633
-40.918,143.671
-40.906,143.704
-40.883,143.732
-40.854,143.757
-40.826,143.783
-40.798,143.808
-40.773,143.828
-40.75,143.836
-40.73,143.83
-40.713,143.816
-40.695,143.802
-40.678,143.787
-40.662,143.775
-40.65,143.769
-40.647,143.767
-40.648,143.769
-40.649,143.771
-40.65,143.773
-40.656,143.766
-40.675,143.746
-40.712,143.714
-40.759,143.68
-40.808,143.645
-40.858,143.612
-40.909,143.598
-40.959,143.622
-41.002,143.689
-41.041,143.774
-41.08,143.858
-41.119,143.94
-41.156,144.018
-41.188,144.09
-41.217,144.155
-41.246,144.217
-41.273,144.279
-41.301,144.34
-41.324,144.4
-41.332,144.452
-41.324,144.491
-41.307,144.524
-41.291,144.556
-41.275,144.588
-41.247,144.624
-41.197,144.668
